symbol,entry_time,exit_time,entry_price,exit_price,qty,direction,pnl,trade_type,broker,result
ZB,2025-06-01T19:30:00,2025-06-01T19:52:00,846,851.6,2,long,162,futures,NinjaTrader,win
RTY,2025-06-01T11:30:00,2025-06-01T11:52:00,3886.91,3896.32,2,long,238.2,futures,NinjaTrader,win
ES,2025-06-01T16:30:00,2025-06-01T16:56:00,213.6,209.99,1,short,86.1,futures,Tradovate,win
NG,2025-06-02T01:45:00,2025-06-02T01:54:00,644.82,648.4,4,long,193.2,futures,Tradovate,win
YM,2025-06-02T04:15:00,2025-06-02T04:30:00,4393.49,4400.91,1,long,124.2,futures,Tradovate,win
ZB,2025-06-02T01:00:00,2025-06-02T01:05:00,907.81,909.59,2,long,85.6,futures,Tradovate,win
CL,2025-06-01T12:45:00,2025-06-01T12:52:00,3961.37,3955.21,2,short,173.2,futures,NinjaTrader,win
ZN,2025-06-01T09:00:00,2025-06-01T09:19:00,3673.37,3679.46,3,long,182.7,futures,Tradovate,win
NG,2025-06-01T09:15:00,2025-06-01T09:30:00,2323.28,2319.78,4,long,-140,futures,NinjaTrader,loss
6E,2025-06-01T09:30:00,2025-06-01T09:55:00,4851.05,4859.42,2,short,-167.4,futures,NinjaTrader,loss
NQ,2025-06-01T09:45:00,2025-06-01T10:10:00,3106.53,3112.74,1,short,-62.1,futures,Tradovate,loss
ZB,2025-06-01T10:00:00,2025-06-01T10:14:00,281,271.26,3,long,-292.2,futures,NinjaTrader,loss
CL,2025-06-01T10:15:00,2025-06-01T10:39:00,2982.45,2981.75,3,long,-21,futures,Tradovate,loss
ZN,2025-06-01T10:30:00,2025-06-01T10:41:00,115.66,125.1,2,long,188.8,futures,NinjaTrader,win
NQ,2025-06-01T10:45:00,2025-06-01T11:10:00,1192.92,1190.32,4,long,-104,futures,Tradovate,loss
ZN,2025-06-01T11:00:00,2025-06-01T11:12:00,220.22,211.1,4,long,-364.8,futures,Tradovate,loss
NQ,2025-06-01T11:15:00,2025-06-01T11:21:00,2154.52,2152.24,4,short,91.2,futures,Tradovate,win
RTY,2025-06-01T11:30:00,2025-06-01T11:52:00,3886.91,3896.32,2,long,188.2,futures,NinjaTrader,win
GC,2025-06-01T11:45:00,2025-06-01T12:05:00,1666.38,1660.57,4,long,-232.4,futures,Tradovate,loss
ZB,2025-06-01T12:00:00,2025-06-01T12:25:00,1973.95,1976.85,1,short,-29,futures,Tradovate,loss
6E,2025-06-01T12:15:00,2025-06-01T12:32:00,747.57,739.5,1,long,-80.7,futures,Tradovate,loss
ZB,2025-06-01T12:30:00,2025-06-01T12:58:00,2004.66,2007.77,3,long,93.3,futures,NinjaTrader,win
CL,2025-06-01T12:45:00,2025-06-01T12:52:00,3961.37,3955.21,2,short,123.2,futures,NinjaTrader,win
ZN,2025-06-01T13:00:00,2025-06-01T13:11:00,4257.69,4262.32,1,long,46.3,futures,Tradovate,win
ZN,2025-06-01T13:15:00,2025-06-01T13:43:00,3346.32,3340.3,2,short,120.4,futures,NinjaTrader,win
