symbol,entry_time,exit_time,entry_price,exit_price,qty,direction,pnl,trade_type,broker
ES,2023-01-05 09:30:00,2023-01-05 10:00:00,3900,3914,1,long,700,daytrade,DemoBroker
ES,2023-01-06 09:40:00,2023-01-06 11:20:00,3920,3930,1,short,-500,daytrade,DemoBroker
ES,2023-01-07 10:00:00,2023-01-07 10:30:00,3895,3908,1,long,650,daytrade,DemoBroker
ES,2023-01-08 09:45:00,2023-01-08 14:15:00,3910,3885,1,short,1250,daytrade,DemoBroker
ES,2023-01-09 10:00:00,2023-01-09 12:30:00,3925,3910,1,long,-750,daytrade,DemoBroker
NQ,2023-02-01 09:30:00,2023-02-01 09:50:00,12980,13030,1,long,1000,daytrade,DemoBroker
NQ,2023-02-02 09:30:00,2023-02-02 10:45:00,13040,12990,1,short,1000,daytrade,DemoBroker
NQ,2023-02-03 10:00:00,2023-02-03 11:30:00,13050,13000,1,long,-1000,daytrade,DemoBroker
NQ,2023-02-04 09:45:00,2023-02-04 11:00:00,13020,13060,1,short,-800,daytrade,DemoBroker
NQ,2023-02-05 10:15:00,2023-02-05 12:30:00,12970,13090,1,long,2400,daytrade,DemoBroker
CL,2023-03-01 09:10:00,2023-03-01 10:05:00,75.0,76.2,1,long,1200,daytrade,DemoBroker
CL,2023-03-02 09:15:00,2023-03-02 11:20:00,76.5,75.0,1,short,1500,daytrade,DemoBroker
CL,2023-03-03 09:30:00,2023-03-03 10:45:00,77.0,76.3,1,long,-700,daytrade,DemoBroker
CL,2023-03-04 10:00:00,2023-03-04 12:00:00,75.8,76.5,1,short,-700,daytrade,DemoBroker
CL,2023-03-05 09:30:00,2023-03-05 13:30:00,74.0,78.0,1,long,4000,daytrade,DemoBroker
GC,2023-04-01 09:20:00,2023-04-01 10:10:00,1990,2000,1,long,1000,daytrade,DemoBroker
GC,2023-04-02 09:25:00,2023-04-02 10:55:00,2005,1997,1,short,800,daytrade,DemoBroker
GC,2023-04-03 10:30:00,2023-04-03 12:00:00,2010,2005,1,long,-500,daytrade,DemoBroker
GC,2023-04-04 09:40:00,2023-04-04 11:15:00,1995,2008,1,short,-1300,daytrade,DemoBroker
GC,2023-04-05 09:50:00,2023-04-05 13:00:00,1980,2015,1,long,3500,daytrade,DemoBroker
YM,2023-05-01 09:30:00,2023-05-01 10:10:00,33000,33100,1,long,1000,daytrade,DemoBroker
YM,2023-05-02 09:45:00,2023-05-02 11:00:00,33120,33050,1,short,700,daytrade,DemoBroker
YM,2023-05-03 10:00:00,2023-05-03 11:45:00,33150,33070,1,long,-800,daytrade,DemoBroker
YM,2023-05-04 09:50:00,2023-05-04 12:30:00,33040,33130,1,short,-900,daytrade,DemoBroker
YM,2023-05-05 09:40:00,2023-05-05 14:00:00,33000,33250,1,long,2500,daytrade,DemoBroker
RTY,2023-06-01 09:30:00,2023-06-01 10:20:00,1800,1815,1,long,1500,daytrade,DemoBroker
RTY,2023-06-02 09:35:00,2023-06-02 11:10:00,1820,1810,1,short,1000,daytrade,DemoBroker
RTY,2023-06-03 09:30:00,2023-06-03 11:30:00,1830,1820,1,long,-1000,daytrade,DemoBroker
RTY,2023-06-04 09:50:00,2023-06-04 12:45:00,1810,1835,1,short,-2500,daytrade,DemoBroker
RTY,2023-06-05 10:00:00,2023-06-05 14:00:00,1790,1825,1,long,3500,daytrade,DemoBroker
